response,response time
1,3533
1,5267
1,7601
1,9736
1,12470
1,14404
1,17338
1,19073
1,20607
1,23141
0,27526
0,29661
0,32195
0,33928
0,35863
0,38197
0,40331
0,41865
0,44799
0,47535
1,52086
1,54020
1,56554
1,58088
1,61023
1,62757
1,64091
1,66025
1,68359
1,71093
1,76279
0,78414
0,80347
0,82881
0,84215
0,86350
0,89084
0,90818
0,93752
0,96087
1,101039
1,102773
1,105507
1,107041
1,109175
1,112110
1,114645
1,116579
1,118313
1,120647
0,125199
0,127133
0,130068
0,132802
0,135136
0,137670
0,139605
0,141138
0,143273
0,145007
1,149742
1,151476
1,154411
1,157145
1,159679
1,161414
1,163747
1,165882
1,167415
1,169350
0,173735
0,175870
0,178204
0,180337
0,183072
0,186006
0,187741
0,189275
0,191208
0,193744
1,198128
1,200262
1,202597
1,204331
1,205865
1,208599
1,211534
1,213468
1,216002
1,217336
0,222522
0,224656
0,227390
0,230325
0,232859
0,234593
0,236927
0,238461
0,240595
